Date Time,Product,Price,Brand,Location
28/10/2020 08:53:53,Iced Americano,45,7-11,TISCO Building
28/10/2020 13:11:30,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
28/10/2020 17:47:17,Tall Cold Brew,130,Starbucks,Q House Lumpini
29/10/2020 07:13:30,Iced Americano,40,7-11,Geeky Base
29/10/2020 14:10:30,Hot Americano (Veranda Blend),0,Starbucks,Geeky Base
30/10/2020 14:10:37,Iced Americano,45,7-11,TISCO Building
31/10/2020 09:49:23,Iced Americano,40,7-11,Geeky Base
31/10/2020 13:45:25,Iced Americano,50,Nara Cafe,Geeky Base
01/11/2020 10:26:43,Grande Cold Brew,145,Starbucks,Sirat Expressway
01/11/2020 12:58:05,Iced Americano,65,Puff & Pie,Muang Thong Thani
02/11/2020 18:09:53,Tall Cold Brew,130,Starbucks,Terminal 21
03/11/2020 13:36:51,Iced Americano,50,Don't Worry Be Coffee,TISCO Building
04/11/2020 08:59:05,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
04/11/2020 15:48:10,Iced Grande Americano,135,Starbucks,MRT Sukhumvit
05/11/2020 08:54:07,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
05/11/2020 13:11:40,Iced Americano,50,Don't Worry Be Coffee,TISCO Building
05/11/2020 19:02:09,Tall Cold Brew,130,Starbucks,Terminal 21
06/11/2020 09:14:34,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
06/11/2020 13:28:10,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
06/11/2020 17:38:52,Iced Tall Americano,110,Starbucks,Terminal 21
07/11/2020 07:41:54,Iced Americano,45,7-11,Ratchada Soi 7
08/11/2020 09:33:20,Hot Americano,50,Buna Coffee,Prachauthit
09/11/2020 08:52:07,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
09/11/2020 10:12:26,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
09/11/2020 17:59:25,Iced Tall Americano,110,Starbucks,Terminal 21
10/11/2020 08:49:51,Iced Americano,45,7-11,TISCO Building
10/11/2020 17:49:29,Iced Black Coffee,55,Cafe Amazon,MRT Sukhumvit
11/11/2020 08:59:23,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
11/11/2020 18:05:55,Iced Black Coffee,55,Cafe Amazon,MRT Sukhumvit
12/11/2020 08:55:20,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
12/11/2020 10:24:44,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
12/11/2020 16:23:21,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
13/11/2020 09:02:34,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
13/11/2020 17:50:34,Iced Latte,60,Dunkin' Donut,MRT Sukhumvit
14/11/2020 08:14:26,Iced Americano,100,True Coffee,Siam University
14/11/2020 17:42:54,Iced Latte,90,The Rabbit Hub,MRT Phayathai
16/11/2020 09:05:15,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
16/11/2020 13:23:47,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
16/11/2020 18:00:18,Iced Black Coffee,55,Cafe Amazon,MRT Sukhumvit
17/11/2020 09:01:28,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
17/11/2020 10:50:42,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
17/11/2020 19:11:40,Grande Cold Brew,145,Starbucks,Terminal 21
18/11/2020 08:51:25,Iced Americano,45,7-11,TISCO Building
19/11/2020 08:59:15,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
19/11/2020 10:50:11,Hot Americano (Veranda Blend),0,Starbucks,TISCO Building
20/11/2020 07:44:09,Iced Americano,45,ML 5 Cafe & Coffee,Saladaeng
21/11/2020 15:42:58,Tall Cold Brew,130,Starbucks,Oasis Chonburi (Motorway)
